Date,Time,ModelName,ModelCode,Defects,Result,PoseNumber
06-05-2025 00:00:00,06-05-2025 09:23:38,HONDA350,"20002953-000708-1225-Rev-001",["#C122","#C102"],True,18
06-05-2025 00:00:00,06-05-2025 09:23:38,HONDA350,"20002953-000708-1225-Rev-001",["#F100"],True,19
06-05-2025 00:00:00,06-05-2025 09:23:39,HONDA350,"20002953-000708-1225-Rev-001",["#C117"],False,20
06-05-2025 00:00:00,06-05-2025 09:43:18,HONDA350,"20002953-000707-1225-Rev-001",["#C127"],False,2
06-05-2025 00:00:00,06-05-2025 09:43:18,HONDA350,"20002953-000707-1225-Rev-001",["#C126"],False,3
06-05-2025 00:00:00,06-05-2025 09:43:18,HONDA350,"20002953-000707-1225-Rev-001",["#C115","#C110","#C47","#C105"],False,4
06-05-2025 00:00:00,06-05-2025 09:43:19,HONDA350,"20002953-000707-1225-Rev-001",["#R66","#C16","#L14"],False,5
06-05-2025 00:00:00,06-05-2025 09:43:19,HONDA350,"20002953-000707-1225-Rev-001",["#C10"],True,6
06-05-2025 00:00:00,06-05-2025 09:43:20,HONDA350,"20002953-000707-1225-Rev-001",["Unable to locate ROI","#C46","#C17"],True,7
06-05-2025 00:00:00,06-05-2025 09:43:20,HONDA350,"20002953-000707-1225-Rev-001",["#C102","#C122"],True,8
06-05-2025 00:00:00,06-05-2025 09:43:21,HONDA350,"20002953-000707-1225-Rev-001",["#F100","#C110"],True,9
06-05-2025 00:00:00,06-05-2025 09:43:21,HONDA350,"20002953-000707-1225-Rev-001",["#C117"],False,10
06-05-2025 00:00:00,06-05-2025 09:43:22,HONDA350,"20002953-000708-1225-Rev-001",["#C127"],False,12
06-05-2025 00:00:00,06-05-2025 09:43:22,HONDA350,"20002953-000708-1225-Rev-001",["#C126"],True,13
06-05-2025 00:00:00,06-05-2025 09:43:23,HONDA350,"20002953-000708-1225-Rev-001",[],True,14
06-05-2025 00:00:00,06-05-2025 09:43:23,HONDA350,"20002953-000708-1225-Rev-001",["#C16","#R66","#L14"],False,15
06-05-2025 00:00:00,06-05-2025 09:43:24,HONDA350,"20002953-000708-1225-Rev-001",["#C10"],True,16
06-05-2025 00:00:00,06-05-2025 09:43:24,HONDA350,"20002953-000708-1225-Rev-001",["Unable to locate ROI","#C122","#C102"],False,17
06-05-2025 00:00:00,06-05-2025 09:43:25,HONDA350,"20002953-000708-1225-Rev-001",["Unable to locate ROI","#F100"],False,18
06-05-2025 00:00:00,06-05-2025 09:43:25,HONDA350,"20002953-000708-1225-Rev-001",["Unable to locate ROI","#C117"],False,19
06-05-2025 00:00:00,06-05-2025 09:43:25,HONDA350,"20002953-000708-1225-Rev-001",["Unable to locate ROI"],True,20
06-05-2025 00:00:00,06-05-2025 09:51:24,HONDA350,"nocodefound",["#C127"],False,2
06-05-2025 00:00:00,06-05-2025 09:51:24,HONDA350,"nocodefound",["#C126"],False,3
06-05-2025 00:00:00,06-05-2025 09:51:25,HONDA350,"nocodefound",["#C115","#C110","#C47","#C105"],True,4
06-05-2025 00:00:00,06-05-2025 09:51:25,HONDA350,"nocodefound",["#R66","#C16","#L14"],False,5
06-05-2025 00:00:00,06-05-2025 09:51:25,HONDA350,"nocodefound",["#C10"],True,6
06-05-2025 00:00:00,06-05-2025 09:51:26,HONDA350,"nocodefound",["Unable to locate ROI","#C46","#C17"],True,7
06-05-2025 00:00:00,06-05-2025 09:51:26,HONDA350,"nocodefound",["#C102","#C122"],True,8
06-05-2025 00:00:00,06-05-2025 09:51:27,HONDA350,"nocodefound",["#F100","#C110"],True,9
06-05-2025 00:00:00,06-05-2025 09:51:27,HONDA350,"nocodefound",["#C117"],False,10
06-05-2025 00:00:00,06-05-2025 09:51:28,HONDA350,"20002953-000708-1225-Rev-001",["#C127"],False,12
06-05-2025 00:00:00,06-05-2025 09:51:29,HONDA350,"20002953-000708-1225-Rev-001",["#C126"],True,13
06-05-2025 00:00:00,06-05-2025 09:51:29,HONDA350,"20002953-000708-1225-Rev-001",[],True,14
06-05-2025 00:00:00,06-05-2025 09:51:30,HONDA350,"20002953-000708-1225-Rev-001",["#C16","#R66","#L14"],False,15
06-05-2025 00:00:00,06-05-2025 09:51:30,HONDA350,"20002953-000708-1225-Rev-001",["#C10"],True,16
06-05-2025 00:00:00,06-05-2025 09:51:30,HONDA350,"20002953-000708-1225-Rev-001",["Unable to locate ROI","#C122","#C102"],False,17
06-05-2025 00:00:00,06-05-2025 09:51:31,HONDA350,"20002953-000708-1225-Rev-001",["Unable to locate ROI","#F100"],False,18
06-05-2025 00:00:00,06-05-2025 09:51:31,HONDA350,"20002953-000708-1225-Rev-001",["Unable to locate ROI","#C117"],False,19
06-05-2025 00:00:00,06-05-2025 09:51:32,HONDA350,"20002953-000708-1225-Rev-001",["Unable to locate ROI"],True,20
06-05-2025 00:00:00,06-05-2025 09:57:20,HONDA350,"nocodefound",["Unable to locate ROI","#C127"],False,2
